T[C],P[bar],XV(Driesner)[mol],XV(xThermo)[mol],XV(diff)[mol],RhoV(Driesner)[kg/m3],RhoV(xThermo),RhoV(err),HV(Driesner)[J/kg],HV(xThermo),HV(err),XL(Driesner)[mol],XL(xThermo)[mol],XL(diff)[mol],RhoL(Driesner)[kg/m3],RhoL(xThermo),RhoL(err),HL(Driesner)[J/kg],HL(xThermo),HL(err)
1.500000e+02,3.466540e+00,7.743987e-11,7.743986e-11,1.000000e-17,1.831081e+00,1.831081e+00,0.000000e+00,2.757117e+06,2.757117e+06,0.000000e+00,1.151778e-01,1.151778e-01,0.000000e+00,1.149964e+03,1.150889e+03,-9.250000e-01,5.169183e+05,5.169183e+05,0.000000e+00
1.500000e+02,3.492353e+00,8.079638e-11,8.079642e-11,-4.000000e-17,1.845177e+00,1.845178e+00,-1.000000e-06,2.756908e+06,2.756908e+06,0.000000e+00,1.130843e-01,1.130843e-01,0.000000e+00,1.146117e+03,1.146961e+03,-8.440000e-01,5.183303e+05,5.183303e+05,0.000000e+00
1.500000e+02,3.518165e+00,8.418527e-11,8.418524e-11,3.000000e-17,1.859281e+00,1.859281e+00,0.000000e+00,2.756699e+06,2.756699e+06,0.000000e+00,1.109837e-01,1.109837e-01,0.000000e+00,1.142246e+03,1.143013e+03,-7.670000e-01,5.197630e+05,5.197629e+05,1.000000e-01
1.500000e+02,3.543978e+00,8.759839e-11,8.759841e-11,-2.000000e-17,1.873393e+00,1.873393e+00,0.000000e+00,2.756490e+06,2.756490e+06,0.000000e+00,1.088760e-01,1.088760e-01,0.000000e+00,1.138351e+03,1.139046e+03,-6.950000e-01,5.212169e+05,5.212169e+05,0.000000e+00
1.500000e+02,3.569790e+00,9.102699e-11,9.102694e-11,5.000000e-17,1.887512e+00,1.887512e+00,0.000000e+00,2.756280e+06,2.756280e+06,0.000000e+00,1.067610e-01,1.067611e-01,-1.000000e-07,1.134432e+03,1.135058e+03,-6.260000e-01,5.226926e+05,5.226926e+05,0.000000e+00
1.500000e+02,3.595603e+00,9.446179e-11,9.446179e-11,0.000000e+00,1.901638e+00,1.901638e+00,0.000000e+00,2.756070e+06,2.756070e+06,0.000000e+00,1.046388e-01,1.046388e-01,0.000000e+00,1.130488e+03,1.131049e+03,-5.610000e-01,5.241907e+05,5.241907e+05,0.000000e+00
1.500000e+02,3.621416e+00,9.789291e-11,9.789296e-11,-5.000000e-17,1.915772e+00,1.915773e+00,-1.000000e-06,2.755860e+06,2.755860e+06,0.000000e+00,1.025092e-01,1.025092e-01,0.000000e+00,1.126520e+03,1.127020e+03,-5.000000e-01,5.257118e+05,5.257118e+05,0.000000e+00
1.500000e+02,3.647228e+00,1.013099e-10,1.013099e-10,0.000000e+00,1.929914e+00,1.929914e+00,0.000000e+00,2.755650e+06,2.755650e+06,0.000000e+00,1.003721e-01,1.003722e-01,-1.000000e-07,1.122527e+03,1.122968e+03,-4.410000e-01,5.272564e+05,5.272564e+05,0.000000e+00
1.500000e+02,3.673041e+00,1.047019e-10,1.047019e-10,0.000000e+00,1.944064e+00,1.944064e+00,0.000000e+00,2.755439e+06,2.755439e+06,0.000000e+00,9.822757e-02,9.822755e-02,2.000000e-08,1.118507e+03,1.118894e+03,-3.870000e-01,5.288252e+05,5.288252e+05,0.000000e+00
1.500000e+02,3.698853e+00,1.080572e-10,1.080571e-10,1.000000e-16,1.958221e+00,1.958220e+00,1.000000e-06,2.755229e+06,2.755229e+06,0.000000e+00,9.607539e-02,9.607541e-02,-2.000000e-08,1.114462e+03,1.114798e+03,-3.360000e-01,5.304188e+05,5.304188e+05,0.000000e+00
